+------------------------+-----------------------------------+-----------------------------+-----+
| Mod name               | Registry name                     | Entity class name           |  ID |
| Exotic Birds           | exoticbirds:toucan                | EntityToucan                |  20 |
| Exotic Birds           | exoticbirds:vulture               | EntityVulture               |  21 |
| Exotic Birds           | exoticbirds:woodpecker            | EntityWoodpecker            |  22 |
| Extra Bit Manipulation | extrabitmanipulation:entity_bit   | EntityBit                   |   0 |
| Future MC              | minecraftfuture:bee               | EntityBee                   |   3 |
| Future MC              | minecraftfuture:panda             | EntityPanda                 |   2 |
| Future MC              | minecraftfuture:trident           | EntityTrident               |   1 |
| Headcrumbs             | headcrumbs:human                  | EntityHuman                 |   0 |
| Inspirations           | inspirations:arrow                | EntityModArrow              |   0 |
| LittleTiles            | littletiles:animation             | EntityAnimation             |   2 |
| LittleTiles            | littletiles:dooranimation         | EntityOldDoorAnimation      |   1 |
| LittleTiles            | littletiles:sizetnt               | EntitySizedTNTPrimed        |   0 |
| Minecraft              | minecraft:area_effect_cloud       | EntityAreaEffectCloud       |   3 |
| Minecraft              | minecraft:armor_stand             | EntityArmorStand            |  30 |
| Minecraft              | minecraft:arrow                   | EntityTippedArrow           |  10 |
| Minecraft              | minecraft:bat                     | EntityBat                   |  65 |
| Minecraft              | minecraft:blaze                   | EntityBlaze                 |  61 |
| Minecraft              | minecraft:boat                    | EntityBoat                  |  41 |
| Minecraft              | minecraft:cave_spider             | EntityCaveSpider            |  59 |
| Minecraft              | minecraft:chest_minecart          | EntityMinecartChest         |  43 |
| Minecraft              | minecraft:chicken                 | EntityChicken               |  93 |
| Minecraft              | minecraft:commandblock_minecart   | EntityMinecartCommandBlock  |  40 |
| Minecraft              | minecraft:cow                     | EntityCow                   |  92 |
| Minecraft              | minecraft:creeper                 | EntityCreeper               |  50 |
| Minecraft              | minecraft:donkey                  | EntityDonkey                |  31 |
| Minecraft              | minecraft:dragon_fireball         | EntityDragonFireball        |  26 |
| Minecraft              | minecraft:egg                     | EntityEgg                   |   7 |
| Minecraft              | minecraft:elder_guardian          | EntityElderGuardian         |   4 |
| Minecraft              | minecraft:ender_crystal           | EntityEnderCrystal          | 200 |
| Minecraft              | minecraft:ender_dragon            | EntityDragon                |  63 |
| Minecraft              | minecraft:ender_pearl             | EntityEnderPearl            |  14 |
| Minecraft              | minecraft:enderman                | EntityEnderman              |  58 |
| Minecraft              | minecraft:endermite               | EntityEndermite             |  67 |
| Minecraft              | minecraft:evocation_fangs         | EntityEvokerFangs           |  33 |
| Minecraft              | minecraft:evocation_illager       | EntityEvoker                |  34 |
| Minecraft              | minecraft:eye_of_ender_signal     | EntityEnderEye              |  15 |
| Minecraft              | minecraft:falling_block           | EntityFallingBlock          |  21 |
| Minecraft              | minecraft:fireball                | EntityLargeFireball         |  12 |
| Minecraft              | minecraft:fireworks_rocket        | EntityFireworkRocket        |  22 |
| Minecraft              | minecraft:furnace_minecart        | EntityMinecartFurnace       |  44 |
| Minecraft              | minecraft:ghast                   | EntityGhast                 |  56 |
| Minecraft              | minecraft:giant                   | EntityGiantZombie           |  53 |
| Minecraft              | minecraft:guardian                | EntityGuardian              |  68 |
| Minecraft              | minecraft:hopper_minecart         | EntityMinecartHopper        |  46 |
| Minecraft              | minecraft:horse                   | EntityHorse                 | 100 |
| Minecraft              | minecraft:husk                    | EntityHusk                  |  23 |
| Minecraft              | minecraft:illusion_illager        | EntityIllusionIllager       |  37 |
| Minecraft              | minecraft:item                    | EntityItem                  |   1 |
| Minecraft              | minecraft:item_frame              | EntityItemFrame             |  18 |
| Minecraft              | minecraft:leash_knot              | EntityLeashKnot             |   8 |
| Minecraft              | minecraft:llama                   | EntityLlama                 | 103 |
| Minecraft              | minecraft:llama_spit              | EntityLlamaSpit             | 104 |
| Minecraft              | minecraft:magma_cube              | EntityMagmaCube             |  62 |
| Minecraft              | minecraft:minecart                | EntityMinecartEmpty         |  42 |
| Minecraft              | minecraft:mooshroom               | EntityMooshroom             |  96 |
| Minecraft              | minecraft:mule                    | EntityMule                  |  32 |
| Minecraft              | minecraft:ocelot                  | EntityOcelot                |  98 |
| Minecraft              | minecraft:painting                | EntityPainting              |   9 |
| Minecraft              | minecraft:parrot                  | EntityParrot                | 105 |
| Minecraft              | minecraft:pig                     | EntityPig                   |  90 |
| Minecraft              | minecraft:polar_bear              | EntityPolarBear             | 102 |
| Minecraft              | minecraft:potion                  | EntityPotion                |  16 |
| Minecraft              | minecraft:rabbit                  | EntityRabbit                | 101 |
| Minecraft              | minecraft:sheep                   | EntitySheep                 |  91 |
| Minecraft              | minecraft:shulker                 | EntityShulker               |  69 |
| Minecraft              | minecraft:shulker_bullet          | EntityShulkerBullet         |  25 |
| Minecraft              | minecraft:silverfish              | EntitySilverfish            |  60 |
| Minecraft              | minecraft:skeleton                | EntitySkeleton              |  51 |
| Minecraft              | minecraft:skeleton_horse          | EntitySkeletonHorse         |  28 |
| Minecraft              | minecraft:slime                   | EntitySlime                 |  55 |
| Minecraft              | minecraft:small_fireball          | EntitySmallFireball         |  13 |
| Minecraft              | minecraft:snowball                | EntitySnowball              |  11 |
| Minecraft              | minecraft:snowman                 | EntitySnowman               |  97 |
| Minecraft              | minecraft:spawner_minecart        | EntityMinecartMobSpawner    |  47 |
| Minecraft              | minecraft:spectral_arrow          | EntitySpectralArrow         |  24 |
| Minecraft              | minecraft:spider                  | EntitySpider                |  52 |
| Minecraft              | minecraft:squid                   | EntitySquid                 |  94 |
| Minecraft              | minecraft:stray                   | EntityStray                 |   6 |
| Minecraft              | minecraft:tnt                     | EntityTNTPrimed             |  20 |
| Minecraft              | minecraft:tnt_minecart            | EntityMinecartTNT           |  45 |
| Minecraft              | minecraft:vex                     | EntityVex                   |  35 |
| Minecraft              | minecraft:villager                | EntityVillager              | 120 |
| Minecraft              | minecraft:villager_golem          | EntityIronGolem             |  99 |
| Minecraft              | minecraft:vindication_illager     | EntityVindicator            |  36 |
| Minecraft              | minecraft:witch                   | EntityWitch                 |  66 |
| Minecraft              | minecraft:wither                  | EntityWither                |  64 |
| Minecraft              | minecraft:wither_skeleton         | EntityWitherSkeleton        |   5 |
| Minecraft              | minecraft:wither_skull            | EntityWitherSkull           |  19 |
| Minecraft              | minecraft:wolf                    | EntityWolf                  |  95 |
| Minecraft              | minecraft:xp_bottle               | EntityExpBottle             |  17 |
| Minecraft              | minecraft:xp_orb                  | EntityXPOrb                 |   2 |
| Minecraft              | minecraft:zombie                  | EntityZombie                |  54 |
| Minecraft              | minecraft:zombie_horse            | EntityZombieHorse           |  29 |
| Minecraft              | minecraft:zombie_pigman           | EntityPigZombie             |  57 |
| Minecraft              | minecraft:zombie_villager         | EntityZombieVillager        |  27 |
| Minecraft              | wolfarmor:wolf_armored            | EntityWolfArmored           | 185 |
| MmmMmmMmmMmm           | testdummy:dummy                   | EntityDummy                 |   0 |
| MmmMmmMmmMmm           | testdummy:floating_number         | EntityFloatingNumber        |   1 |
| MmmMmmMmmMmm           | testdummy:floating_number_dps     | EntityDpsFloatingNumber     |   2 |
| Natura                 | natura:imp                        | EntityImp                   |   2 |
| Natura                 | natura:nitrocreeper               | EntityNitroCreeper          |   3 |
| NetherEx               | netherex:blue_fireball            | EntityBlueFireball          |   1 |
| NetherEx               | netherex:brute                    | EntityBrute                 |  16 |
| NetherEx               | netherex:coolmar_spider           | EntityCoolmarSpider         |  15 |
| NetherEx               | netherex:ember                    | EntityEmber                 |   9 |
| NetherEx               | netherex:frost                    | EntityFrost                 |  17 |
| NetherEx               | netherex:ghast_queen              | EntityGhastQueen            |  18 |
| NetherEx               | netherex:ghast_queen_fireball     | EntityGhastQueenFireball    |  -1 |
| NetherEx               | netherex:ghastling                | EntityGhastling             |  14 |
| NetherEx               | netherex:ghastling_fireball       | EntityGhastlingFireball     |   0 |
| NetherEx               | netherex:gold_golem               | EntityGoldGolem             |   5 |
| NetherEx               | netherex:mogus                    | EntityMogus                 |   6 |
| NetherEx               | netherex:nethermite               | EntityNethermite            |  10 |
| NetherEx               | netherex:obsidian_boat            | EntityObsidianBoat          |   2 |
| NetherEx               | netherex:pigtificate              | EntityPigtificate           |   4 |
| NetherEx               | netherex:pigtificate_leader       | EntityPigtificateLeader     |   3 |
| NetherEx               | netherex:salamander               | EntitySalamander            |   7 |
| NetherEx               | netherex:spinout                  | EntitySpinout               |  11 |
| NetherEx               | netherex:spore                    | EntitySpore                 |  13 |
| NetherEx               | netherex:spore_creeper            | EntitySporeCreeper          |  12 |
| NetherEx               | netherex:wight                    | EntityWight                 |   8 |
| Outfox                 | outfox:fox                        | EntityFox                   |   0 |
| Quark                  | quark:archaeologist               | EntityArchaeologist         |  16 |
| Quark                  | quark:arrow_ender                 | EntityArrowEnder            |   5 |
| Quark                  | quark:arrow_explosive             | EntityArrowExplosive        |   6 |
| Quark                  | quark:arrow_torch                 | EntityArrowTorch            |   7 |
| Quark                  | quark:ashen                       | EntityAshen                 |   1 |
| Quark                  | quark:chest_passenger             | EntityChestPassenger        |  13 |
| Quark                  | quark:colored_item_frame          | EntityColoredItemFrame      |   0 |
| Quark                  | quark:crab                        | EntityCrab                  |  22 |
| Quark                  | quark:dragon_breath_bottle        | EntityDragonBreathBottle    |  11 |
| Quark                  | quark:dweller                     | EntityDweller               |   2 |
| Quark                  | quark:flat_item_frame             | EntityFlatItemFrame         |   9 |
| Quark                  | quark:foxhound                    | EntityFoxhound              |  21 |
| Quark                  | quark:frog                        | EntityFrog                  |  18 |
| Quark                  | quark:glass_item_frame            | EntityGlassItemFrame        |  10 |
| Quark                  | quark:gravisand                   | EntityGravisand             |  23 |
| Quark                  | quark:leash_knot                  | EntityLeashKnot2TheKnotting |  19 |
| Quark                  | quark:parrot_egg                  | EntityParrotEgg             |  14 |
| Quark                  | quark:pickarang                   | EntityPickarang             |  20 |
| Quark                  | quark:pirate                      | EntityPirate                |   3 |
| Quark                  | quark:seat                        | Seat                        |  12 |
| Quark                  | quark:soul_powder                 | EntitySoulPowder            |   8 |
| Quark                  | quark:stoneling                   | EntityStoneling             |  17 |
| Quark                  | quark:wraith                      | EntityWraith                |   4 |
| Thermal Foundation     | thermalfoundation:basalz          | EntityBasalz                |   2 |
| Thermal Foundation     | thermalfoundation:basalz_bolt     | EntityBasalzBolt            |   5 |
| Thermal Foundation     | thermalfoundation:blitz           | EntityBlitz                 |   1 |
| Thermal Foundation     | thermalfoundation:blitz_bolt      | EntityBlitzBolt             |   4 |
| Thermal Foundation     | thermalfoundation:blizz           | EntityBlizz                 |   0 |
| Thermal Foundation     | thermalfoundation:blizz_bolt      | EntityBlizzBolt             |   3 |
| iChunUtil              | ichunutil:entity_block            | EntityBlock                 | 500 |
+------------------------+-----------------------------------+-----------------------------+-----+
| Mod name               | Registry name                     | Entity class name           |  ID |
+------------------------+-----------------------------------+-----------------------------+-----+
