+------------------------------------------+-----------------------------------------+-------------+-----------+-----+
| Registry name                            | Name                                    | Type        | Rarity    |  ID |
| minecraft:infinity                       | enchantment.arrowInfinite               | BOW         | VERY_RARE |  51 |
| minecraft:knockback                      | enchantment.knockback                   | WEAPON      | UNCOMMON  |  19 |
| minecraft:looting                        | enchantment.lootBonus                   | WEAPON      | RARE      |  21 |
| minecraft:luck_of_the_sea                | enchantment.lootBonusFishing            | FISHING_ROD | RARE      |  61 |
| minecraft:lure                           | enchantment.fishingSpeed                | FISHING_ROD | RARE      |  62 |
| minecraft:mending                        | enchantment.mending                     | BREAKABLE   | RARE      |  70 |
| minecraft:power                          | enchantment.arrowDamage                 | BOW         | COMMON    |  48 |
| minecraft:projectile_protection          | enchantment.protect.projectile          | ARMOR       | UNCOMMON  |   4 |
| minecraft:protection                     | enchantment.protect.all                 | ARMOR       | COMMON    |   0 |
| minecraft:punch                          | enchantment.arrowKnockback              | BOW         | RARE      |  49 |
| minecraft:respiration                    | enchantment.oxygen                      | ARMOR_HEAD  | RARE      |   5 |
| minecraft:sharpness                      | enchantment.damage.all                  | WEAPON      | COMMON    |  16 |
| minecraft:silk_touch                     | enchantment.untouching                  | DIGGER      | VERY_RARE |  33 |
| minecraft:smite                          | enchantment.damage.undead               | WEAPON      | UNCOMMON  |  17 |
| minecraft:sweeping                       | enchantment.sweeping                    | WEAPON      | RARE      |  22 |
| minecraft:thorns                         | enchantment.thorns                      | ARMOR_CHEST | VERY_RARE |   7 |
| minecraft:unbreaking                     | enchantment.durability                  | BREAKABLE   | UNCOMMON  |  34 |
| minecraft:vanishing_curse                | enchantment.vanishing_curse             | ALL         | VERY_RARE |  71 |
| minecraftfuture:channeling               | enchantment.channeling                  | weapons     | VERY_RARE |  60 |
| minecraftfuture:impaling                 | enchantment.impaling                    | weapons     | RARE      |  63 |
| minecraftfuture:loyalty                  | enchantment.loyalty                     | weapons     | UNCOMMON  |  64 |
| minecraftfuture:riptide                  | enchantment.riptide                     | weapons     | RARE      |  65 |
| uniquee:alchemistsgrace                  | enchantment.uniquee.alchemistsgrace     | WEAPON      | VERY_RARE |  43 |
| uniquee:all                              | enchantment.uniquee.all                 | WEAPON      | VERY_RARE |  12 |
| uniquee:aresblessing                     | enchantment.uniquee.aresblessing        | ARMOR_CHEST | VERY_RARE |  42 |
| uniquee:arthropods                       | enchantment.uniquee.arthropods          | WEAPON      | RARE      |  14 |
| uniquee:berserk                          | enchantment.uniquee.berserk             | WEAPON      | RARE      |  11 |
| uniquee:bone_crusher                     | enchantment.uniquee.bone_crusher        | WEAPON      | VERY_RARE |  27 |
| uniquee:climate_tranquility              | enchantment.uniquee.climate_tranquility | WEAPON      | RARE      |  36 |
| uniquee:cloudwalker                      | enchantment.uniquee.cloudwalker         | ARMOR_FEET  | RARE      |  44 |
| uniquee:ecological                       | enchantment.uniquee.ecological          | BREAKABLE   | RARE      |  47 |
| uniquee:ender_eyes                       | enchantment.uniquee.ender_eyes          | ARMOR_HEAD  | VERY_RARE |  25 |
| uniquee:ender_librarian                  | enchantment.uniquee.ender_librarian     | FISHING_ROD | VERY_RARE |  56 |
| uniquee:ender_mending                    | enchantment.uniquee.ender_mending       | BREAKABLE   | VERY_RARE |  38 |
| uniquee:endermarksmen                    | enchantment.uniquee.endermarksmen       | BOW         | VERY_RARE |  41 |
| uniquee:fastfood                         | enchantment.uniquee.fastfood            | WEAPON      | RARE      |  45 |
| uniquee:focus_impact                     | enchantment.uniquee.focus_impact        | WEAPON      | RARE      |  26 |
| uniquee:icarus_aegis                     | enchantment.uniquee.icarus_aegis        | ARMOR_CHEST | VERY_RARE |  55 |
| uniquee:ifrits_grace                     | enchantment.uniquee.ifrits_grace        | DIGGER      | RARE      |  54 |
| uniquee:midas_blessing                   | enchantment.uniquee.midas_blessing      | DIGGER      | VERY_RARE |  53 |
| uniquee:momentum                         | enchantment.uniquee.momentum            | DIGGER      | RARE      |  37 |
| uniquee:naturesgrace                     | enchantment.uniquee.naturesgrace        | ARMOR_CHEST | VERY_RARE |  46 |
| uniquee:perpetualstrike                  | enchantment.uniquee.perpetualstrike     | WEAPON      | VERY_RARE |  31 |
| uniquee:pestilences_odium                | enchantment.uniquee.pestilences_odium   | ALL         | UNCOMMON  |  57 |
| uniquee:phoenixs_blessing                | enchantment.uniquee.phoenixs_blessing   | ALL         | RARE      |  52 |
| uniquee:ranged                           | enchantment.uniquee.ranged              | WEAPON      | COMMON    |  28 |
| uniquee:sages_blessing                   | enchantment.uniquee.sages_blessing      | DIGGER      | COMMON    |  24 |
| uniquee:smart_ass                        | enchantment.uniquee.smart_ass           | DIGGER      | RARE      |  39 |
| uniquee:spartanweapon                    | enchantment.uniquee.spartanweapon       | WEAPON      | RARE      |  30 |
| uniquee:swift                            | enchantment.uniquee.swift               | ARMOR_LEGS  | RARE      |  23 |
| uniquee:swiftblade                       | enchantment.uniquee.swiftblade          | WEAPON      | VERY_RARE |  29 |
| uniquee:undead                           | enchantment.uniquee.undead              | WEAPON      | RARE      |  13 |
| uniquee:vitae                            | enchantment.uniquee.vitae               | ARMOR       | VERY_RARE |  15 |
| uniquee:warriorsgrace                    | enchantment.uniquee.warriorsgrace       | WEAPON      | VERY_RARE |  40 |
| xpholder:holder                          | enchantment.xpholder:holder             | ALL         | COMMON    |  66 |
+------------------------------------------+-----------------------------------------+-------------+-----------+-----+
| Registry name                            | Name                                    | Type        | Rarity    |  ID |
+------------------------------------------+-----------------------------------------+-------------+-----------+-----+
