+-----------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
| Name                  | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                              |
| liquidglassgreen      |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglassgreen           |
| liquidglasslight_blue |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglasslight_blue      |
| liquidglasslime       |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglasslime            |
| liquidglassmagenta    |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglassmagenta         |
| liquidglassorange     |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglassorange          |
| liquidglasspink       |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglasspink            |
| liquidglasspurple     |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglasspurple          |
| liquidglassred        |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglassred             |
| liquidglasssilver     |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglasssilver          |
| liquidglasswhite      |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglasswhite           |
| liquidglassyellow     |    2000 |        1550 |      1000 |         12 | COMMON   |     false | foundry:liquidglassyellow          |
| liquidgold            |    2000 |        1350 |      1000 |         15 | COMMON   |     false | foundry:liquidgold                 |
| liquidinvar           |    2000 |        1780 |      1000 |         15 | COMMON   |     false | foundry:liquidinvar                |
| liquidiron            |    2000 |        1800 |      1000 |         15 | COMMON   |     false | foundry:liquidiron                 |
| liquidlead            |    2000 |         650 |      1000 |          0 | COMMON   |     false | foundry:liquidlead                 |
| liquidlumium          |    2000 |        2500 |      1000 |         15 | COMMON   |     false | foundry:liquidlumium               |
| liquidnickel          |    2000 |        1750 |      1000 |         15 | COMMON   |     false | foundry:liquidnickel               |
| liquidosmium          |    2000 |        3300 |      1000 |         15 | COMMON   |     false | foundry:liquidosmium               |
| liquidplatinum        |    2000 |        2100 |      1000 |         15 | COMMON   |     false | foundry:liquidplatinum             |
| liquidsignalum        |    2000 |        2800 |      1000 |         12 | COMMON   |     false | foundry:liquidsignalum             |
| liquidsilver          |    2000 |        1250 |      1000 |         15 | COMMON   |     false | foundry:liquidsilver               |
| liquidsteel           |    2000 |        1800 |      1000 |         15 | COMMON   |     false | foundry:liquidsteel                |
| liquidtin             |    2000 |         550 |      1000 |          0 | COMMON   |     false | foundry:liquidtin                  |
| liquidzinc            |    2000 |         700 |      1000 |          0 | COMMON   |     false | foundry:liquidzinc                 |
| mana                  |     600 |         350 |      6000 |         15 | EPIC     |     false | thermalfoundation:fluid_mana       |
| milk                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                  |
| mushroom_stew         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                  |
| petrotheum            |    4000 |         350 |      1500 |          0 | RARE     |     false | thermalfoundation:fluid_petrotheum |
| poison                |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:poison                 |
| potato_soup           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                  |
| potion                |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                  |
| potion_lingering      |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                  |
| potion_splash         |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                  |
| pyrotheum             |    2000 |        4000 |      1200 |         15 | RARE     |     false | thermalfoundation:fluid_pyrotheum  |
| rabbit_stew           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                  |
| redstone              |    1200 |         300 |      1500 |          7 | UNCOMMON |     false | thermalfoundation:fluid_redstone   |
| refined_biofuel       |     750 |         300 |       800 |          0 | COMMON   |     false | -                                  |
| refined_fuel          |     750 |         300 |       800 |          0 | COMMON   |     false | -                                  |
| refined_oil           |     800 |         300 |      1400 |          0 | COMMON   |     false | -                                  |
| resin                 |     900 |         300 |      3000 |          0 | COMMON   |     false | -                                  |
| sap                   |    1050 |         300 |      1500 |          0 | COMMON   |     false | -                                  |
| seed_oil              |     950 |         300 |      1300 |          0 | COMMON   |     false | -                                  |
| steam                 |   -1000 |         750 |       200 |          0 | COMMON   |      true | -                                  |
| syrup                 |    1400 |         300 |      2500 |          0 | COMMON   |     false | -                                  |
| tamoltenauroriansteel |    2000 |         800 |     10000 |         10 | COMMON   |     false | theaurorian:tamoltenauroriansteel  |
| tamoltencerulean      |    2000 |         800 |     10000 |         10 | COMMON   |     false | theaurorian:tamoltencerulean       |
| tamoltenmoonstone     |    2000 |         800 |     10000 |         10 | COMMON   |     false | theaurorian:tamoltenmoonstone      |
| tamoonwater           |    1000 |         300 |      1000 |          0 | COMMON   |     false | theaurorian:tamoonwater            |
| tree_oil              |     900 |         300 |      1200 |          0 | COMMON   |     false | -                                  |
| water                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | minecraft:water                    |
| xpjuice               |    1200 |         300 |      1200 |          0 | COMMON   |     false | cyclicmagic:xpjuice                |
+-----------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
| Name                  | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                              |
+-----------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
